x value,receive time,header.stamp,topic,value
0,1730340923.692826275,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340923.692963722,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340923.692981958,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340923.897854562,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340923.897885482,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340923.992928842,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340924.094940952,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340924.194309600,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340924.300646277,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340924.396757214,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340924.492762029,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340924.596278209,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340924.692989176,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340924.796630209,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340924.996877082,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340924.996895995,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340925.094636442,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340925.192755693,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340925.292811534,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340925.393233134,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340925.492882997,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340925.599422572,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340925.692867026,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340925.792874974,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340925.894938904,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340925.994166358,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340926.095731775,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340926.193029004,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340926.293098386,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340926.392781110,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340926.493935584,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340926.592748122,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340926.694571642,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340926.793994141,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340926.894267234,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340926.992816433,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340927.092961332,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340927.194193490,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340927.295111075,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340927.395297638,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340927.495039358,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340927.593580431,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340927.692928631,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340927.792949760,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340927.892943400,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340927.993866943,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340928.092939345,,/base_pose_ground_truth.pose.pose.position.y,0
0,1730340928.194789362,,/base_pose_ground_truth.pose.pose.position.y,0
